name,country,region,continent
Богота,Колумбия,Богота,Южная Америка
Мельбурн,Австралия,Виктория,Океания
Бангкок,Таиланд,Бангкок,Азия
Пекин,Китай,Пекин,Азия
Джакарта,Индонезия,Ява,Океания
Кейптаун,Южная Африка,Западно-Капская провинция,Африка
Буэнос-Айрес,Аргентина,Буэнос-Айрес,Южная Америка
Тегеран,Иран,Тегеран,Азия
Пекин,Китай,Пекин,Азия
Манила,Филиппины,Метро Манила,Океания
Мумбаи,Индия,Махараштра,Азия
Чикаго,США,Иллинойс,Северная Америка
Лос-Анджелес,США,Калифорния,Северная Америка
Сеул,Южная Корея,Сеул,Азия
Лима,Перу,Лима,Южная Америка
Рио-де-Жанейро,Бразилия,Рио-де-Жанейро,Южная Америка
Гавана,Куба,Гавана,Северная Америка
Джакарта,Индонезия,Ява,Океания
Каир,Египет,Гиза,Африка
Лондон,Великобритания,Англия,Европа
Манила,Филиппины,Метро Манила,Океания
Сан-Паулу,Бразилия,Сан-Паулу,Южная Америка
Бангалор,Индия,Карнатака,Азия
Карачи,Пакистан,Синдх,Азия
Богота,Колумбия,Богота,Южная Америка
Кейптаун,Южная Африка,Западно-Капская провинция,Африка
Сантьяго,Чили,Метрополитенская область,Южная Америка
Сан-Паулу,Бразилия,Сан-Паулу,Южная Америка
Багдад,Ирак,Багдад,Азия
Йоханнесбург,Южная Африка,Гаутенг,Африка
Рим,Италия,Лацио,Европа
Шанхай,Китай,Шанхай,Азия
Дакка,Бангладеш,Дакка,Азия
Мадрид,Испания,Мадрид,Европа
Анкара,Турция,Анкара,Азия
Шанхай,Китай,Шанхай,Азия
Торонто,Канада,Онтарио,Северная Америка
Манила,Филиппины,Метро Манила,Океания
Чикаго,США,Иллинойс,Северная Америка
Дубай,ОАЭ,Дубай,Азия
Карачи,Пакистан,Синдх,Азия
Дели,Индия,Дели,Азия
Шанхай,Китай,Шанхай,Азия
Рим,Италия,Лацио,Европа
Стамбул,Турция,Стамбул,Азия
Сеул,Южная Корея,Сеул,Азия
Рио-де-Жанейро,Бразилия,Рио-де-Жанейро,Южная Америка
Йоханнесбург,Южная Африка,Гаутенг,Африка
Париж,Франция,Иль-де-Франс,Европа
Гавана,Куба,Гавана,Северная Америка
Эр-Рияд,Саудовская Аравия,Эр-Рияд,Азия
Москва,Россия,Москва,Европа
Сантьяго,Чили,Метрополитенская область,Южная Америка
Берлин,Германия,Берлин,Европа
Тегеран,Иран,Тегеран,Азия
Чикаго,США,Иллинойс,Северная Америка
Богота,Колумбия,Богота,Южная Америка
Тегеран,Иран,Тегеран,Азия
Дели,Индия,Дели,Азия
Куала-Лумпур,Малайзия,Куала-Лумпур,Океания
Чикаго,США,Иллинойс,Северная Америка
Анкара,Турция,Анкара,Азия
Багдад,Ирак,Багдад,Азия
Касабланка,Марокко,Касабланка-Settat,Африка
Джакарта,Индонезия,Ява,Океания
Шанхай,Китай,Шанхай,Азия
Кабул,Афганистан,Кабул,Азия
Тегеран,Иран,Тегеран,Азия
Карачи,Пакистан,Синдх,Азия
Багдад,Ирак,Багдад,Азия
Рио-де-Жанейро,Бразилия,Рио-де-Жанейро,Южная Америка
Дакка,Бангладеш,Дакка,Азия
Кейптаун,Южная Африка,Западно-Капская провинция,Африка
Рим,Италия,Лацио,Европа
Дакка,Бангладеш,Дакка,Азия
Дакка,Бангладеш,Дакка,Азия
Кейптаун,Южная Африка,Западно-Капская провинция,Африка
Кейптаун,Южная Африка,Западно-Капская провинция,Африка
Анкара,Турция,Анкара,Азия
Тайбэй,Тайвань,Тайбэй,Азия
Йоханнесбург,Южная Африка,Гаутенг,Африка
Мельбурн,Австралия,Виктория,Океания
Катманду,Непал,Катманду,Азия
Эр-Рияд,Саудовская Аравия,Эр-Рияд,Азия
Лима,Перу,Лима,Южная Америка
Джакарта,Индонезия,Ява,Океания
Токио,Япония,Токио,Азия
Багдад,Ирак,Багдад,Азия
Бангалор,Индия,Карнатака,Азия
Сеул,Южная Корея,Сеул,Азия
Манила,Филиппины,Метро Манила,Океания
Гонконг,Китай,Гонконг,Азия
Мехико,Мексика,Мехико,Северная Америка
Мумбаи,Индия,Махараштра,Азия
Париж,Франция,Иль-де-Франс,Европа
Париж,Франция,Иль-де-Франс,Европа
Рим,Италия,Лацио,Европа
Бангкок,Таиланд,Бангкок,Азия
Анкара,Турция,Анкара,Азия
Дели,Индия,Дели,Азия
Дели,Индия,Дели,Азия
Сантьяго,Чили,Метрополитенская область,Южная Америка
Тегеран,Иран,Тегеран,Азия
Анкара,Турция,Анкара,Азия
Манила,Филиппины,Метро Манила,Океания
Париж,Франция,Иль-де-Франс,Европа
Чикаго,США,Иллинойс,Северная Америка
Нью-Йорк,США,Нью-Йорк,Северная Америка
Гонконг,Китай,Гонконг,Азия
Лима,Перу,Лима,Южная Америка
Берлин,Германия,Берлин,Европа
